Thread ID,Comment
Ugyipq3aveMwcZR7dkx4AaABAg,waiting for an s9 ultra review
UgzBqkkZ5hVaBSiWxDJ4AaABAg,"I&#39;m curious on how the phones feel while you have them in your pocket. When going out or are at work, I wonder if the foldables are comfortable while stored in pockets. My S23 Ultra has no issue of comfortability, just because its so thin."
UgwFLmeVcNpA__JkOjh4AaABAg,"I don&#39;t like the bigger screens on the zflips. I mean, the point of the zflip is that I don&#39;t get distracted by my phone. But you can play simple app games on it now."
UgxchbEo5-sQVLA478x4AaABAg,I have the flip 3. Is it worth upgrading??
UgwHJyFNPJ239ApKzJd4AaABAg,"I get that you what to add other multilanguage options to your videos. But for me it&#39;s simple horrible, I speak pt from Portugal, and that robot like pt br that starts when I open one of your videos is simply horrible, English is fine for me. So I need to change every single video to English and in the reels didn&#39;t figure out where to do that. Extra step or one step to stop watching your videos."
UgxGejnw8LKB2g8p35J4AaABAg,I just wish they made it the size of a plus which folds out to a bigger .. so u get a normal phone size and a tablet in one
UgxW1kd8vutax8yiPTh4AaABAg,like your review i would purchase new phones and from the 70s until 2020 i have the old flips and other from the 70s thru 2020 so i have a collection samsung sony nokia motorolas  i now sercom to phones with 6.9 inch or higher size we now have a chose out their would like u to study the best cost to run those new phones like consumer cell verizon att mint and trac phone which i foung out verizon just purchase how is that going affect the high cost of running these phone or are the buy outs going to get rid of 15 to 25 amonth phone bills tks will be watching
UgyKq1T70FoIeAY92bl4AaABAg,You should review the honor magic v2 foldable
UgyHyyAlkNa1sp8GpdN4AaABAg,I like how no ones says shit when android manufacturers release LITERALLY the same phone again but the second apple does it they are the loudest ones to talk.
UgyT17kUncmM7eTticp4AaABAg,I was planning to get the fold but then when I saw the differences between the 4 and 5 I changed my mind. I&#39;d probably wait for a new vivo fold since they don&#39;t shy away from high end performance like fast charging and not include trash CPUs like exynos
UgwnVCJ1A7SObKNMzSp4AaABAg,"I had a flip 3. The battery life, charging speed and camera were all terrible, so i held out from upgrading to the flip 4 and instead got an ultra. Now I&#39;m disappointed to see its basically the same story with the flip and fold 5. Guess I&#39;ll wait foe the flip fold 6 and see if they actually push the envelope"
UgxomsOVvOPH47uTdXx4AaABAg,"MKBHD... If something doesn&#39;t need to be re-engineered or fixed, then it shouldn&#39;t be FIXED. 🤷‍♂️"
Ugw8qXtqI-gXqF8oQ1l4AaABAg,feels smartwatchish?  ^^
UgwWV1BjjMcEZM39WVp4AaABAg,"Now that the Flip 5 is out, Imma get the Flip 4 for next to nothing"
Ugw0M_QUIvHdDELAsMV4AaABAg,Well I guess it&#39;s the reason why you need foldable phone by making its narrow outside screen.  Its slimmer and nice to hold. If you make it like normal brick phone. Maybe u will not use the inside screen. I mean the concept is not there.
UgzxwEAhuzKa1Ctt3X54AaABAg,❤
UgwCw2hiwv_hiH1mBOp4AaABAg,I cant say enough good about my Fold 4 but I was hoping to get an upgraded Fold 5. Being that the changes are so minor ill definitely wait till the next gen.
UgzD7h7yf7g-eI-edl54AaABAg,Can you please do review of TECNO Phantom V phone
UgzbPelpV4Rn2wq9wAd4AaABAg,very informative and you makes me decide to get these fold5 aside from my old fold3.<br>Thanks
Ugz3LZM3emvH1iAJvjR4AaABAg,They&#39;ll never be as cool as the T-Mobile sidekicks.
UgzE7p3yUwQFT8O9BLZ4AaABAg,Still hate the idea of these phones. That stupid ass line and everything. I hope these dont last. They arent close to needed and samsung just wants it to catch so bad but it will never be as popular as there regular series. Hell I still wish we didnt have edges on a phone yet i got the ultra because it offered the 1440p and wanted the biggest screen and felt like it was the king and yes it is but the whole flip thing is retarded af. <br><br>Still chargij 1k for a phone that isnt closw to the hardware and capabilities as there s23 for less. Its close enoufh to the ultra price it makes no sense to choose that over the ultra for only 200 more.
UgzzrzDfnWsR9V0jtqR4AaABAg,"Mr Brownlee talking in a language I can&#39;t recognize, cool"
UgwyZWmgplLvBgUIgF94AaABAg,I remember 10 years ago my friends making fun of me for my &quot;Phablet&quot; - a Note 3. They didn&#39;t believe me when I said the Note 3 will be standard size of phones in the future.
Ugzv987icYC0rnGYw-Z4AaABAg,"At least someone is trying something New for a change😂, some are just stuck with the same dodgy style"
Ugz90r-ypxJc_CeSXoJ4AaABAg,Felt the same when I saw them at the pop up store
UgwjiabO223NddjU7bN4AaABAg,I loved my note edge
UgzGand9mToq59b7BEB4AaABAg,"I agree the outer screen is stupidly sized. Absolute nightmare to use the keyboard properly with bigger hands. I thought it would be same size as the inner screen of the flip, and open to something closer to a 1:1 aspect"
UgzRdK5WHKGo2J4fuVV4AaABAg,im getting the flip 4 tomorrow. it will be my first samsung phone in 6-7 years. im super excited about it
UgwkY9XbovfgsEJ1l6h4AaABAg,Double tablet battery storage everything
UgwfVqfoGQqlDJgcvcZ4AaABAg,I want a tablet laptop literally a folding tablet that turns into a laptop use the screen like a touch pad and use swipe or Bluetooth physical keyboard
UgypESuyKCpT2BHZQ9d4AaABAg,iPhone made the same phone for 15 years at least Samsung is doing it with a phone that can fold🎉🎉🎉
UgwSWREMbuGGWfhc_cN4AaABAg,Samsung foldable size is the best. Easy to hold while closed. Top tier phone
Ugw8ykCB0FI9cAmr7CF4AaABAg,I would say the zflip5 and the zfold5 is good I don&#39;t know both are good
UgzPj7-YdZFFjBct4ex4AaABAg,"Based off availability on Samsung&#39;s website, it looks like the Fold 5 isn&#39;t selling to well"
UgyCwuNMn73WLu1HriR4AaABAg,I don&#39;t need a folding phone. I need a folding 24 INCH FOLDING TABLET.
UgxUOpDMS7w2bxjfvYZ4AaABAg,Intro bgm is nice 💯
UgymVMBzYLeKI0Tcj5l4AaABAg,"Seriously dude... You ROCK!!! You are ABSOLUTELY perfect, not only for this particular form of review/critique but  for ANYTHING media wise! You speak clearly and your explanations are easily understood ANDDDD you&#39;re NOT boring so that&#39;s a huge plus! 😅 It&#39;s more than obvious that you&#39;re not just giving some forced kind of review but that your heart is surely in it and THAT makes ALL the difference!! You have a God given talent that I pray, SOME type of media company will soon recognize and higher you like yesterday!!! Keep doing what doing &#39;cause you&#39;re doing it right!! ☺️ And lastly ...thanks for a review I can actually use!! 😊"
UgyjjgwuJLWz_9lL-tJ4AaABAg,I haven&#39;t got into the flips or folds... I&#39;m still on the note s20 ultra.. not sure I was to get into the fold... is it worth it?
Ugyih45k6cpRtGJKwPt4AaABAg,If someone needed a new phone would u suggest they get the new foldable?
UgxkCuWIYR54AthLrcV4AaABAg,Your android user not a apple user your not tied to a logo you are freedom wake up in buy the pixel fold
UgzubDpY4shKkgYQMDt4AaABAg,No narrow screens no !narrow screens!!! Go on strike with me punish Samsung for the foolish behavior buy the Pixel fold we must show them what we want dont let that sausage screen control you 😂😂😂
Ugx8yKuNnVUN0VXtzkh4AaABAg,"Got a &quot;free&quot; upgrade to a fold 5 from my s9 after 6 years, much more confident in the design than when it first came out<br><br>But i work a trade job and am interested to see if its lower durability can handle it, things like dust and dirt in in pockets, paint or crud on fingers, case drops etc"
UgysxBtYcZbOXVJbhPF4AaABAg,"Nice review of the Samsung Galaxy Fold 5 and Flip 5. I think the $1800 price for the fold is to much, it should be a $1300 phone. I don&#39;t need a Fold tablet because in my Haggar classic fit pants large pocket a carry a $600 Samsung F21 phone and a Samsung $100 8 inch tablet."
UgxEzXWknh5gLzg-un14AaABAg,WHY AM I GETTING THIS DUBBED??? Stop it! It&#39;s awful!
UgzoCdGe7x0Xo3D6cn54AaABAg,Really love your review!
UgyRhbJTVjM7lm_Aj9R4AaABAg,If I see ur iphone review u always surprise by update even design same and spec  upgrade by 15%....I don&#39;t agree with u on this on flip 5..
Ugzdp1rkK69ZDUuQEON4AaABAg,저거 접어서 손목에 차면 애플워치 인가? ㅋ
Ugx5EYg7wFoIc3_DF9B4AaABAg,So flip 5 still has the horrible battery life???
UgynX1WVYcW_IFagQKN4AaABAg,The new tab s9 ultra is damn cool.👌
UgwoM-pF2IGUAeEGp4B4AaABAg,"Im selling all samsung crap. Cuved screen is pain in ass, cant use protection glass. Watch 6 is actually downgrade, shitty battery life."
Ugxulo42ZJOJZFh1CYZ4AaABAg,The width of the zflips is just too small.
UgwFpekKTyvA1vYL-Sx4AaABAg,i don&#39;t know why samsung make these kind of modal most people don&#39;t like it
Ugy5HhwquEtMrNV9nB94AaABAg,Marques says there is no upgrade and then continues to talk about them in next 5 minutes
UgyS095-2I92i7bDnsV4AaABAg,"Remember when the Wachowskis were looking for someone to make the Matrix Phone (from Reloaded) and every phone company was like &quot;nope, that can&#39;t be done&quot; and Samsung was like &quot;hold my beeper&quot; and they DID IT. Like the battery that felt like reloading a gun, the slide out ear piece, adding clips from the film as part of the phone just because they could. Really felt like if anyone was going to innovate in the space it would be Samsung. Hoping they can break the mold going forward, I&#39;d hate to see them settle in at this point."
UgzXJ4Sv-z02Q2vZQrZ4AaABAg,#############(SYSTEM)has has joined the chat today is the celebrating for YouTubers and YouTube thank you for supporting our app and god bless may god put you in haven
UgwfwWi7k32YzI6_Z-14AaABAg,"They folding screen on the Fold finally folds flat. Well done, Samsung. I&#39;ll wait for the 6th iteration next year."
UgxaVV33PSgJ1LvxndN4AaABAg,"So on one end with the Flip 5, you get the gen 2 processor, which the majority of people realistically wont notice the difference from gen 1. The other end with the Razor+, you get a larger outside screen that is fully usable, not limited to widgets like the Flip 5 . Having a hard time seeing a reason to get the Flip 5 instead."
UgybeydR65Pna1V14jV4AaABAg,Fall in love Z Flold5❤
Ugw6gpzTHoFxv9VAdv94AaABAg,I always felt like every 2 phones is when a major change happens to a platform
UgxfYd52vuAHp_jLPr14AaABAg,"I waited since getting the flip 3 and didn&#39;t get the 4, waiting for it to be more different and I&#39;m glad I did."
UgwkVO_U4F0b94JK9Ud4AaABAg,"Think I&#39;ll just stick with my fold 4 then, lol"
UgwU1ETiLb2bL2Sdm7d4AaABAg,What  shall I with my fold 4 exchange or no
Ugx-AsQhTj9jCOSF1HZ4AaABAg,"Hi MKBHD <br>I have 2 questions.Plz ans<br><br>1. Is there any company available who produces smartphone with decent chips like Snapdragon 8Gen1/2 or simillar catagory chipset but with no camera?Literally No front and back camera only device with best of spec?<br>2. Is there any company available where I can make customized mobile like by choosing my preferred chipset,motherboard,camera sensor etc.and that company will build my device like we build customized Computer setup?Of course it should be under normal person budget.<br>Plz answer this ques.Thanks"
UgzYVZtENTgTq6UOCS94AaABAg,Damn...I kinda expected more
UgyeL_jtCfnt7HLD5394AaABAg,why no one is talking about the dynamic island used inside the smaller screen XD
Ugw0HR3YS_C-82G_cIN4AaABAg,"Samsung phones are the best in the world. I don&#39;t see any Apple phones competing with Samsung. It&#39;s my humble opinion. Well done, Samsung.❤❤❤❤❤"
UgzqkR0nVhvDORltMVd4AaABAg,"Got the flip 4 last year and decided I wouldn&#39;t be upgrading this year unless the cameras got an improvement, and they didn&#39;t. I actually prefer the smaller back screen too. Plus considering the trade in value of the flip 3 this year if seems like waiting till next year will be a better value for the improvmemts (at least I hope it will"
Ugzt-RBVVsyyszAYjLN4AaABAg,"As a person whos never owned a fold, all the &quot;imma stick with my fold4 / fold3&quot; comments is making me excited cause i know once i get my fold 5 i wont need to replace it for a while"
Ugx7h0uQIP21MbKqwuR4AaABAg,$1800 hundred...🤔<br>Prices for phones are Ridiculous....<br>And the embedded apps they put in. Is a no no...
UgzgScAy_uYcS9WnSl14AaABAg,"I have no idea why they don&#39;t just put the same cameras in the Fold as they have in the Ultra. Are they afraid that will make the Ultra redundant? It&#39;s just frustrating as a customer to want the functionality without sacrificing content creation capabilities, and it&#39;s pushing me away from Samsung altogether. I&#39;d rather they just give us the best of what they have now, stop with these annual mini-updates and release a significantly improved phone in 2-3 years."
Ugz2ZwAqX8v1HdM_QkJ4AaABAg,im not hating just saying he said its the &quot;samsung way&quot; to not make many improvements when apple is sitting right there playing inocent like the only noticible difference is the damn camera
Ugyae8KKceRniJNZnd14AaABAg,I need this phone; I will be upgrading soon.
Ugz7pVP3NVQyrAulSSF4AaABAg,"It is ok there is not much new. It has been just one year, we cannot expect much. And we should actually be glad, less temptation to buy a new phone every two years or so :)"
UgyWK1HUHaluWKX6KJ14AaABAg,"Apple- &quot;In the new iPhone, we have a new camera, a new chip, a different notch, different components.<br>Public- &quot;booooooooo&quot;<br>Samsung- &quot;New hinge, bigger outside screen&quot;<br>Public- &quot;It&#39;s okay, what else can you update on a folding phone.&quot;"
UgzhqxJfMUR_qPuh_k54AaABAg,Next they gonna bring back the extendable antenna. Lol
UgxaoUA5nZFbTsQ1afJ4AaABAg,You should do more standalone reviews of the products instead of just what’s changed because I don’t know anything about the last model and just want to ditch my iPhone
UgxghW7c2clRtOv5obV4AaABAg,I’ll wait for the fold 5 to improve two more years then I’ll probably get it
UgzpFBqWhQTzNw7JsNx4AaABAg,I love my Flip 4. I only flip it when necessary. Easy on the hands too
Ugw5BWHcqPYmC6r4eh14AaABAg,I like a narrow phone.  My S23U is just too big.
Ugx7RGL_a3RUpT64irx4AaABAg,"Truth be told, these foldable devices have started to look like outdated technologies. It has somehow not evolved well. They are big/ bulky, not very easily stored in person and no additional features which differentiates itself from today’s generation of smartphones"
UgzazuL0fLuJ6m-NfeR4AaABAg,Still use and are happy with my fold 3. I don&#39;t really see a reason to upgrade yet so hopefully it will last another year or two.
UgxYHobIs-tlQrX7XIB4AaABAg,Is it worth getting the fold 5 or just get the fold 4 same stuff but cheaper
Ugx1WBwBKfbgYIS1DtZ4AaABAg,"I would love to see Samsung making cheaper folding phones next year. I would love a phone in the form factor of the Z flip, it would help me so much on reducing my screentime without compromising on the handy phone stuff. Its just that I&#39;m not in the market where I can afford to spend a 1000 euro&#39;s on a phone. Especially when Im not sold that big on camera&#39;s and most of that price is for premium camera&#39;s."
UgwVbnlMmyCLvqWlAFN4AaABAg,For my personal needs the fold is great but at that price I’d rather just stick
UgyzDEJsIuEtebqTmHh4AaABAg,Please do a video on the Galaxy Watch 6 Classic
Ugx3BKdIpa7r07HQ3oF4AaABAg,"So, foldable phones are just concept cars for smart phones?<br><br>Yeah.<br><br>Does anyone really want these? <br><br> I&#39;m not talking about techie people, I&#39;m talking about the masses"
UgwwGq_qUAf5HwR0vrt4AaABAg,"So, I should buy the s23 ultra?<br><br>or the plus if I don&#39;t need fancy cameras and 8k, which I don&#39;t."
UgxUxCRezc_NwfFnmH54AaABAg,Come from @ATC ❤
UgxS47TyMd9Arw-tS494AaABAg,an overview of tough smartphone cases for trekking/construction/farming/biking etc use would be much appreciated<br>also more on robustness and durability in general between the different brands I think would be very popular<br>eg folding phone durability is a bummer I believe...<br>many broken smartphones out there ....
UgzJ5WJJrS8P1Xx9P3p4AaABAg,"Besides just wanting it,  I&#39;m trying to justify buying this."
Ugz5RKlgx93DR5J1eO14AaABAg,"only good use of a fold phone is being able to use the rear camera for selfies, Otherwise this is just another bad idea like curved displayhs"
UgzufvR2IUyIHsDLYhl4AaABAg,"I want to buy one just to support the progression of the technology, but the price tag is out to lunch.<br><br>I think I said the same thing for the Fold 1."
UgxMaKq0NEwlsnD3C1d4AaABAg,"Samsung is probably intentionally sticking to the narrow and tall form factor because that really makes you to use phone unfolded. It is a bit ironic but bad external screen experience will force you to use internal screen more often, which ultimately would give you even better experience than wider external screen.<br><br>As a long time Z fold user, I think getting used to unfold the screen more often is kinda difficult to get used to, but you can get the most out of it once you do. If you stick to use cover screen more often, then basically you have thicker, heavier normal phone with worse battery time."
UgwhBdQ6fazNBSKhIEZ4AaABAg,That new spen is horrible look. Like a super long note pen. What they change it from last year. and why the hell did they get rid of grey green. Now I have to choose from girly blue or cream or standard black. Which basically gives me one boring option. This is the same as apple coming out with Barney purple. Stupid decision. Why not grey blue
UgwRFUUoXPsCZsza5IN4AaABAg,I love the tall slim design personally.  It&#39;s almost reminiscent of our old Nokia phones in terms of feel in hand. I only open my fold for YouTube and movies. Really wish I had a stylus that I could use on inner AND outer display. I rocked with the Note line from the 4 to the 20.
UgyQoWa_PirOB-yZKZJ4AaABAg,Can i open 2 chrome tabs simultaneously on Z fold 5?
Ugzf0WHwlm40hYigUF14AaABAg,weird portuguese audio
UgyjKOuEKOKT7phl48l4AaABAg,I may get rid of my iPhone for this galaxy fold
UgyY5Tg46coynM0LX1t4AaABAg,I don&#39;t care if it&#39;s the same. I&#39;m bought the Fold 5 for $353. iPhone users have been buying the same for 10 year. It&#39;s my time to be a drone lol.
UgwkSDZtrAAxc1DEy2x4AaABAg,"Currently, I&#39;d only consider the flip 4 or 5 as it&#39;s about the size of a standard size s. If they make it more like a standard but can clamshell or go to mini tablet using the standard size or the ultra size, I&#39;m open. And put that pen in like the ultra too. I think for people to be open, it needs to be a step up from flagship, not it being weird but bigger"
UgyrZWMFo6A6QWWQjs14AaABAg,Can you use the s pen on the front display now
UgwxY6e3cy3I4Ly5Sz54AaABAg,Apple killed the Flip phones only to have them in 2024 next release to join the bandwagon lol
UgwhwN2bUvoHRycp0pR4AaABAg,Apple refuse to jump on this bandwagon don&#39;t worry Android users we will get them to join the team ...... Apple you got 2024 to start making Flip and Fold phones - Managment.
UgzbdnHvfFYGhv0Seb94AaABAg,Oh my god! Marques were you at EWR- if that was you I think I had a small fan moment but was too shy to come say hello. But.. hello 👋
Ugx5G50PkQqLIiOw-pV4AaABAg,Garbage just imagine all the crap getting in your pocket in the collapsed phone scratching the screen all to heck and back
Ugx_6jwgmArNir0DGgF4AaABAg,"I only upgrade if my phone is old, broken, or the next update is big enough for me to change, I have had my flip4 since last September  and I love it, I preordered my flip 5 whith the 900 credit for trade in, I&#39;m a little sad to see the matt finish to be replaced with shiny but I only paid 53.00 after taxes to upgrade"
Ugx5coFg99m1P7AtVEt4AaABAg,"<a href=""https://www.youtube.com/watch?v=Eo-oFWyxdUo&amp;t=6m30s"">6:30</a> Why would you want to watch content on the closed screen when you have a tablet to watch it on, on the inside"
UgwEGTN7BIAUGyWz3T14AaABAg,"Highly anticipating the Z Fold 5 in depth review.  I know I know, everything is the same but I ordered one and I need to hear from the man himself.  Let&#39;s go!!!"
UgzRwr-sdl9zCrLUtsh4AaABAg,they&#39;re so desperate at samsung trying to sell us something more that they come up with such useless &quot;inventions&quot;? Cringe
UgyrTNQxKVEqAnnPfG94AaABAg,손바닥만 하얀거 징그럽네
UgxqdaDiMqWjYpmi4tl4AaABAg,"Now that these came out, Apple NEEDS to make their iPhone 15 a folding phone!"
UgztE0gYXqR0q4PFRv14AaABAg,Damn can’t believe phones are now approaching $2000 <br><br>One day people will need to be approved for loans from the bank just to be able to buy a phone like we do with cars 😂
UgzufcQydmZA93YZGz54AaABAg,fewer parts*<br><br>anything that can be counted individually should always use fewer and never &quot;less&quot;
Ugzk-sMiKGsf21B4Wut4AaABAg,"Yes, now I can view down about 3 inches down from my Z flip phone to my Samsung&#39;s Galaxy smartwatch to view how many steps I&#39;ve taken today 😂"
UgyGIN5phhY8R3oLBL94AaABAg,Good luck whith the battery on this. I got my flip 3 since it came out and the battery isn&#39;t good anymore. Since this phone has now a bigger outside screen it will even be worse after some time..
UgyBCd3oCxbmuDvhTIN4AaABAg,This was a lot more thorough than MKBHD’s video
Ugz6PTCYkHHBYQTxWnZ4AaABAg,Apple has had the same phones for the past few years with no change. At least samsung is improving the phone in some way.
UgwwTPH0wDeOx-0Jcih4AaABAg,I am working in an Electronic shop and Samsung Mega was one of the first phones I sold..
Ugzfl-WvAyYbHeJF2wF4AaABAg,"Flip phones are crap. My wife had flip 3 and flip 4. They both had problems within a year. From what we read on the internet, many people have problems with those (to fix flip , the cost is over 500 dollars). Phones are nice but after second failure from Samsung I am switching my wife to IPhone (her car supports wireless car play, otherwise she would go to s23).  <br>Those phones are nice when they are new (less than 6 months). Just FYI, we do care about our phones and have best cases. <br>I will wait and see if Razr will have same problems with hinges (They used to make nice phones and my wife liked old razr and krazr.<br>Ps, Nice review. If I did not have previous experience with those phones I would probably get one."
UgxlLtCanPXssesg4Mp4AaABAg,Samsung is getting boring
UgxpEOj7SxFvEGJ9XAd4AaABAg,Just realised my Sammy is 3 years old. <br>Doesnt even feel like I need to update.<br><br>Looks like a great engineering improvement. Can&#39;t call that settling. When they are years ahead of competitors.<br>Don&#39;t need bigger batteries if CPU&#39;s get more efficient.
UgzMy0hBDWgiWz4nSmN4AaABAg,I really miss my Galaxy Edge.  By far my favorite smart phone ever.
UgwCxX-mfzWwUwBt1fZ4AaABAg,"Samsung is bullshit in foldable.. It must learn from Apple. It didn&#39;t develop the foldable yet properly and launching fold phone year on year. Its foldable unluckily lasts till warranty then without any external damage, its display blanks out and its speakers become muted.<br><br>When apple launches a product, it means it&#39;ll go long way unlike Samsung which last upto warranty period... Being an S23 ultra user, feeling depressed and disappointed for choosing Samsung.."
UgzWl9trlzQYUrSm2Zt4AaABAg,Which is better? Samsung S23 Ultra or Samsunf=g Fold 5?
